movie_id,name,year,genre,director_id,actor1,actor2
294,'Weird Al' Yankovic: The Ultimate Video Collection,2003,Comedy-Music,30290,22916,30298,
294,'Weird Al' Yankovic: The Ultimate Video Collection,2003,Comedy-Music,46315,22916,30298,
294,'Weird Al' Yankovic: The Ultimate Video Collection,2003,Comedy-Music,58285,22916,30298,
294,'Weird Al' Yankovic: The Ultimate Video Collection,2003,Comedy-Music,59754,22916,30298,
294,'Weird Al' Yankovic: The Ultimate Video Collection,2003,Comedy-Music,75067,22916,30298,
294,'Weird Al' Yankovic: The Ultimate Video Collection,2003,Comedy-Music,84811,22916,30298,
294,'Weird Al' Yankovic: The Ultimate Video Collection,2003,Comedy-Music,87131,22916,30298,
295,'Weird Al' Yankovic: The Videos,1996,Comedy-Music,19309,22916,30298,
295,'Weird Al' Yankovic: The Videos,1996,Comedy-Music,30290,22916,30298,
295,'Weird Al' Yankovic: The Videos,1996,Comedy-Music,46315,22916,30298,
295,'Weird Al' Yankovic: The Videos,1996,Comedy-Music,58285,22916,30298,
295,'Weird Al' Yankovic: The Videos,1996,Comedy-Music,59754,22916,30298,
295,'Weird Al' Yankovic: The Videos,1996,Comedy-Music,75067,22916,30298,
295,'Weird Al' Yankovic: The Videos,1996,Comedy-Music,84811,22916,30298,
295,'Weird Al' Yankovic: The Videos,1996,Comedy-Music,87131,22916,30298,
302,'Zmeiny istochnik,1997,Horror-Mystery-Romance-Thriller,45259,50660,150632,
305,(A),2002,Drama-Short,2992,174915,193584,
305,(A),2002,Drama-Short,50459,174915,193584,
307,(Blooper),1991,Animation-Comedy-Family-Short,25459,38772,218246,
307,(Blooper),1991,Animation-Comedy-Family-Short,45971,38772,218246,
310,(Entre nous),2002,Drama,44049,51138,115252,
311,(G),1998,Comedy,59479,51427,67217,
313,(Haru),1996,Drama-Romance,55424,209372,324824,
317,(Paris: XY),2001,Drama,44526,1058,124227,
318,(Past Present Future),2004,Drama,79294,63607,71502,
320,(R),2003,Drama-Fantasy-Short,38786,46459,126257,
322,(T),2004,Comedy-Sci-Fi,33913,107961,131110,
328,*batteries not included,1987,Comedy-Family-Fantasy-Sci-Fi,67000,6251,15454,
329,*Corpus Callosum,2002,Drama,74696,205688,304199,
341,...a zase ta Lucie!,1984,Comedy-Family,63197,20197,33395,
344,...All the Marbles,1981,Action-Comedy-Drama-Romance,1102,11418,56493,
345,...Almost,1990,Drama-Romance,61161,202511,210721,
351,...and Quiet Flows the Don,2004,Drama,8360,1107,143078,
352,...And the Earth Did Not Swallow Him,1995,Drama,64395,5937,49431,
353,...And Then She Was Gone,1991,Thriller,30378,2691,102758,
357,...At First Sight,2000,Short,16036,15893,91218,
359,...Aur Pyaar Ho Gaya,1997,Comedy-Drama-Family-Musical-Romance,65484,7256,118923,
360,...Az vozdam,1993,Drama-Romance,39855,15762,181156,
360,...Az vozdam,1993,Drama-Romance,72454,15762,181156,
360,...Az vozdam,1993,Drama-Romance,76111,15762,181156,
366,...boroume kai kato ap' ta thrania!,1983,Comedy,4138,122968,261351,
369,...Comme elle respire,1998,Comedy-Crime,69687,15519,24839,
374,...des contes d'Hoffmann,1993,Drama-Fantasy-Music,12992,22624,164793,
379,...E a Vaca Foi Para o Brejo,1981,Comedy,12125,378594,808467,
396,...en fin el mar,2005,Drama,21954,9480,12739,
400,...First Do No Harm,1997,Drama,194,1146,2898,
405,...I vsya lyubov',1989,Drama-Romance,82171,26704,340995,
407,...Influenced by None,2003,Family,47604,12611,24906,
408,...ing,2003,Romance,45441,247558,247705,
409,...Is It the Design on the Wrapper?,1997,Short,72972,422314,715779,
410,...Ispolnit vsyakuyu pravdu,1987,Crime-Drama,56157,187405,252268,
414,...kai dio avga Tourkias,1987,Comedy,25674,236721,373633,
417,...Lost,2000,Short,12821,107965,136480,
418,...Maybe This Time,1980,Drama,52185,16755,64982,
428,...Or Forever Hold Your Peace,2000,Comedy-Drama,3393,34188,52895,
429,...Pervaya lyubov,1995,Drama-Romance,4196,713,31067,
430,...Po prozvishchu 'Zver',1990,Action,56156,13329,18076,
431,...Quando Troveja,1999,Drama-Mystery,55854,4293,50513,
440,...Se non avessi l'amore,1991,Drama,12768,63829,71507,
446,...Sometimes in April,2004,Drama-War,61409,134704,137328,
448,...Sub clar de luna,2002,Comedy,78721,379283,412527,
451,...To Be with Me,1999,Drama-Short,28156,102873,140262,
452,...To Skin a Cat,2004,Comedy-Short,58639,213824,279462,
455,...und das ist erst der Anfang,2000,Comedy-Romance,25879,16627,157785,
470,...und ich dachte du magst mich,1986,Drama,81249,85597,200264,
475,...und pltzlich wird es dunkel in meinem Leben,2001,Drama,76223,64068,205399,
484,...viele Grsse Rank,2002,Short,24043,67455,554822,
484,...viele Grsse Rank,2002,Short,43607,67455,554822,
487,...Y al tercer ao resucit,1981,Comedy,28481,6969,27144,
499,...ya no puede caminar.,2001,Horror-Short,6409,166370,353840,
501,...zu Stein.,1992,Short,56323,285872,296541,
509,.com for Murder,2002,Thriller,51276,106720,114877,
511,.hack//Liminality Vol. 1: In the Case of Mai Minase,2003,Animation-Drama-Mystery-Short,51156,5852,23694,
512,.hack//Liminality Vol. 2: In the Case of Yuki Aihara,2003,Animation-Drama-Mystery-Short,51156,76894,134534,
513,.hack//Liminality Vol. 3: In the Case of Kyoko Tohno,2003,Animation-Drama-Mystery-Short,51156,57447,134534,
514,.hack//Liminality Vol. 4: Trismegistus,2004,Animation-Drama-Mystery-Short,51156,23694,71495,
523,0-600-Amor ya,1998,Short,48264,287049,697389,
524,00 Schneider - Jagd auf Nihil Baxter,1994,Comedy,70967,1362,160138,
524,00 Schneider - Jagd auf Nihil Baxter,1994,Comedy,71145,1362,160138,
532,008,2003,Comedy-Short,61900,193817,490073,
533,008 - Agent wider Willen,2000,Comedy,31569,211137,423385,
538,01.48 AM,1997,Short,8759,203199,683456,
539,011 Beograd,2003,Drama,62223,63307,175493,
540,01412 pasasingeum,2000,Action-Fantasy,60755,191015,522572,
543,05h42,2003,Drama-Short,66942,325461,382545,
544,06,1994,Drama-Romance,29082,488064,783753,
545,06-05 de film,2005,Drama,29082,65798,113447,
552,0shiui hotel,1983,Mystery-Thriller,56914,22899,247481,
556,1 2 3,2003,Comedy,62392,2323,67738,
562,1 Fijo,2003,Comedy-Short,21789,36919,167562,
563,1 Giant Leap,2002,Documentary,9683,57373,78074,
563,1 Giant Leap,2002,Documentary,12925,57373,78074,
565,1 Is for Gun,1998,Mystery-Short,2891,17034,17862,
565,1 Is for Gun,1998,Mystery-Short,74709,17034,17862,
576,1 s a semmi,2004,Short,54732,137475,413523,
579,1 2 3 Coco,1991,Animation-Family-Short,80451,114288,163435,
585,199 - Um Supermercado Que Vende Palavras,2003,Comedy-Documentary,51127,69747,71933,
594,1-900,1996,Thriller,45390,174077,182807,
595,1-Ichi,2003,Action-Thriller,78213,84341,249936,
598,1. de ei,2000,Drama-Short,82549,492162,791666,
603,1/2 Mensch,1986,Documentary-Music,36845,27683,86519,
612,10 Cents a Minute,2001,Drama-Short,68897,2344,37523,
627,10 Million Dollar Getaway The,1991,Thriller,15725,905,14738,
630,10 Minute Run!!! The,2001,Comedy-Family-Romance-Short,25761,195131,263862,
630,10 Minute Run!!! The,2001,Comedy-Family-Romance-Short,32253,195131,263862,
631,10 Minuten Berlin,1989,Short,61839,48037,86095,
632,10 Minuten zwischen Hamburg und Salzburg,2004,Drama-Short,11220,67455,282003,
632,10 Minuten zwischen Hamburg und Salzburg,2004,Drama-Short,48693,67455,282003,
633,10 More Minutes... Anatomy of a Shootout,1998,Documentary-Short,67419,26023,110826,
635,10 pecados y un acto de contricin,2001,Short,21546,71604,415859,
637,10 pesos,2003,Short,66820,49703,72472,
641,10 Seconds,1998,Short-Thriller,38379,130627,138102,
644,10 Things I Hate About You,1999,Comedy-Romance,38826,37361,60341,
645,10 to Midnight,1983,Action-Thriller,45391,2799,42941,
646,10 Violent Women,1982,Action-Drama,53640,115753,115848,
656,10000 Black Men Named George,2002,Drama,80068,40846,55727,
657,10000 Cigarettes,2004,Documentary,9083,4728,53373,
658,10000 Delusions,1999,Comedy-Short,43550,62846,271950,
665,10-Speed,2001,Comedy-Drama-Short,17054,44971,44995,
665,10-Speed,2001,Comedy-Drama-Short,47482,44971,44995,
670,10.7,1997,Short,23016,1667,55764,
672,100 aos de perdn,1998,Comedy,69233,14593,17976,
673,100 Bullets,2004,Action,54056,310724,400247,
674,100 Cameras: Capturing Lars Von Trier's Vision,2000,Documentary-Short,61093,209931,364723,
675,100 Days,1991,Horror-Romance-Thriller,28286,12208,38117,
676,100 Days,2001,Drama,35849,57380,236425,
682,100 Girls,2000,Comedy,18184,45994,65876,
686,100 Greatest Movie Stars The,2003,Documentary-Family,22079,22366,55174,
686,100 Greatest Movie Stars The,2003,Documentary-Family,22300,22366,55174,
686,100 Greatest Movie Stars The,2003,Documentary-Family,27283,22366,55174,
686,100 Greatest Movie Stars The,2003,Documentary-Family,27931,22366,55174,
686,100 Greatest Movie Stars The,2003,Documentary-Family,36015,22366,55174,
686,100 Greatest Movie Stars The,2003,Documentary-Family,62713,22366,55174,
698,100 Jahre Mattscheibe,1997,Comedy-Short,76878,237533,398295,
700,100 Kilos,2001,Crime-Drama,71708,3152,74416,
701,100 kilos de plomo,2002,Action,11509,6105,116357,
704,100 Lives of Black Jack Savage The,1991,Comedy,49964,35387,72309,
705,100 Lovers of Jesus Reynolds,2004,Short,13263,188420,215354,
706,100 meter fri,1993,Drama-Short,66691,568836,643224,
707,100 Mile Rule,2002,Comedy,35804,84628,126661,
709,100 minuta slave,2004,Drama,51311,296847,306062,
710,100 Most Irresistible Women,2003,Documentary,47122,33791,132589,
713,100 Pro,2001,Comedy,82528,130843,152133,
714,100 Proof,1997,Drama,35394,29093,50285,
724,100 Years of Horror,1996,Documentary-Horror,57638,103985,202711,
739,100 Years of Olympic Glory,1996,Documentary,30415,26486,61208,
740,100 Years of the Hollywood Western,1994,Documentary,31917,58899,90069,
742,100 Years: The Australian Story,2001,Documentary,51264,158690,200808,
742,100 Years: The Australian Story,2001,Documentary,75347,158690,200808,
749,100% Arabica,1997,Comedy,88109,1083,34865,
750,100% bio,2003,Drama,25592,156073,261872,
783,100% Helmig,2001,Documentary-Music,38936,203715,449301,
789,100% lana,1999,Short,86049,134795,317388,
795,100% NYC: Tribeca Film Festival,2003,Documentary-Music,61123,365547,406720,
801,100% Wool,1986,Comedy,49332,172030,725299,
807,1000 Boomerangs,1994,Drama-Musical,27068,148435,260448,
808,1000 Caloriot,2001,Drama,53382,25995,316811,
811,1000 DM,2004,Short,88072,234944,240728,
813,1000 dollarov v odnu storonu,1991,Romance,77202,163056,169096,
814,1000 Feet,2000,Short,11679,43087,314849,
820,1000 Miles From Nowhere,1998,Drama,42532,158053,199745,
822,1000 Rosen,1994,Drama,8111,67421,118153,
826,1000-nen kizami no hidokei,1987,Drama,59052,550,208079,
829,10000th Day The,1997,Short,74420,351283,362362,
835,1001 marguerites Les,1986,Documentary,62285,13214,603889,
840,1002,1992,Short,13025,148714,403780,
842,1003. Nacht Die,1993,Comedy-Romance,7764,320708,337738,
845,101,1989,Documentary-Music,18252,25875,63462,
845,101,1989,Documentary-Music,33482,25875,63462,
845,101,1989,Documentary-Music,61605,25875,63462,
847,101 Dalmatians,1996,Adventure-Comedy-Family,33931,36753,72231,
849,101 Dalmatians II: Patch's London Adventure,2003,Animation-Comedy-Family,39320,6762,37230,
849,101 Dalmatians II: Patch's London Adventure,2003,Animation-Comedy-Family,74406,6762,37230,
870,101 Reykjavk,2000,Comedy,42342,11525,16494,
874,101 Ways (The Things a Girl Will Do to Keep Her Volvo),2000,Comedy,39927,30090,60353,
875,101-vy kilometer,2001,Drama,51097,162548,239025,
876,101st Proposition The,1994,Comedy-Romance,77010,328267,650334,
879,102 Boulevard Haussmann,1991,Drama-Fantasy,63744,31159,62719,
880,102 Dalmatians,2000,Comedy-Family,46886,45319,46888,
893,10:10,2000,Short,1225,136923,250206,
895,10:30 Check-Out,2002,Crime-Drama-Short,5409,62610,305797,
899,10th & Wolf,2006,Crime-Drama,55305,39477,72026,
901,10th Kingdom: The Making of an Epic The,2000,Documentary-Short,22693,90940,267122,
907,11 commandements Les,2004,Comedy,19655,70190,87458,
907,11 commandements Les,2004,Comedy,75104,70190,87458,
911,11 in Life,1998,Comedy-Short,27524,167292,170039,
913,11 Minutes Ago,2005,Romance-Sci-Fi,27837,105883,169282,
917,11 septembre n'a pas eu lieu... Le,2004,Documentary,57265,5125,5126,
917,11 septembre n'a pas eu lieu... Le,2004,Documentary,83110,5125,5126,
919,11 Uhr 59,2000,Short,71272,47256,64071,
921,11'09''01 - September 11,2002,Drama,13260,2906,8310,
921,11'09''01 - September 11,2002,Drama,28772,2906,8310,
921,11'09''01 - September 11,2002,Drama,29463,2906,8310,
921,11'09''01 - September 11,2002,Drama,36579,2906,8310,
921,11'09''01 - September 11,2002,Drama,45864,2906,8310,
921,11'09''01 - September 11,2002,Drama,47437,2906,8310,
921,11'09''01 - September 11,2002,Drama,49488,2906,8310,
921,11'09''01 - September 11,2002,Drama,56801,2906,8310,
921,11'09''01 - September 11,2002,Drama,59923,2906,8310,
921,11'09''01 - September 11,2002,Drama,61600,2906,8310,
921,11'09''01 - September 11,2002,Drama,78219,2906,8310,
922,11* mandamiento El,2000,Short,65125,14450,130016,
923,11-22-63: The Day the Nation Cried,1989,Documentary-Music,31928,935,2774,
941,112th Dream The,2001,Family-Short,24329,15548,102501,
945,1161 - Panzerknacker,1994,Short,46084,136510,274926,
949,119,1994,Drama,77978,4652,18176,
953,11:11,2004,Thriller,3898,133492,198362,
954,11:11,2005,Crime-Drama,16252,55579,152992,
955,11:14,2003,Comedy-Crime-Drama-Thriller,50191,156312,177639,
957,11th & Congress,2000,Short,59113,21789,252893,
958,11th American Music Awards The,1984,Music,50302,2192,8463,
961,11th Hour,2004,Drama-Short,73353,473903,516971,
962,11th Hour The,1995,Animation,85197,29178,209573,
965,12 (2003/I),2003,Comedy,9693,106691,158385,
966,12 (2003/II),2003,Drama,73628,4739,81756,
968,12 and Holding,2005,Drama,16948,9246,69638,
970,12 Angry Men,1997,Drama,26288,8271,101241,
971,12 B,2001,Drama,37747,261894,307204,
973,12 Bucks,1998,Drama,36827,20918,50569,
977,12 Dogs of Christmas The,2004,Family,53170,42946,153806,
978,12 Evas para un paraso,1989,Drama,18620,453616,551861,
979,12 horas,2001,Comedy-Drama,50150,35674,41030,
981,12 Inches of Dangling Fury,2003,Comedy-Short,71796,428356,432580,
984,12 Mile Road,2003,Drama,26283,153931,204957,
989,12 pasos,2000,Short,59563,50477,204971,
993,12 Stops on the Road to Nowhere,1999,Comedy-Short,48000,274297,686657,
994,12 Stories About Eileen,2003,Drama-Short,63967,185104,250284,
1003,120 decibels,1987,Drama,81447,220851,360921,
1017,127 millones libres de impuestos,1980,Comedy,51301,8895,116546,
1018,12:01,1993,Comedy-Sci-Fi,73232,12538,92556,
1019,12:01 PM,1990,Sci-Fi-Short,33365,10274,22372,
1020,12:35,2002,Drama,75630,26664,45443,
1023,12x12,2000,Drama-Short,88396,59323,448285,
1026,13 Dead Men,2003,Action-Adventure-Crime,11608,3643,22026,
1029,13 Erotic Ghosts,2002,Fantasy,65512,162806,391540,
1033,13 French Street,2005,Drama,54496,242760,294749,
1035,13 Gantry Row,1998,Horror-Thriller,53758,2050,78012,
1037,13 Ghosts: The Magic of Illusion-O,2001,Documentary-Horror-Short,71532,64808,77501,
1038,13 Going On 30,2004,Comedy-Drama-Fantasy-Romance,86015,11916,16500,
1040,13 kaidan,2003,Thriller,56724,40890,241433,
1041,13 latidos de amor,2004,Comedy,12421,74754,352223,
1041,13 latidos de amor,2004,Comedy,30833,74754,352223,
1041,13 latidos de amor,2004,Comedy,48024,74754,352223,
1041,13 latidos de amor,2004,Comedy,76910,74754,352223,
1041,13 latidos de amor,2004,Comedy,79968,74754,352223,
1045,13 minutes 13 dans la vie Josh et Anna,1998,Short,60614,10634,560020,
1046,13 Moons,2002,Comedy,67314,22669,33024,
1049,13 Seconds,2003,Fantasy-Horror-Mystery-Thriller,79074,210943,260292,
1052,13 vies du chat Lelouch Les,2002,Documentary,14814,52566,97898,
1056,13-rsdagen,1994,Family-Short,45892,33828,281407,
1057,13. jul,1982,Drama-War,70179,7422,14067,
1064,13/14,2004,Short,29083,53000,190440,
1072,13th Child,2002,Horror-Mystery-Thriller,76417,19467,131361,
1073,13th Floor The,1988,Horror,66967,44698,78012,
1074,13th Grade,2004,Comedy,27600,5513,63431,
1091,13th Sign The,2000,Horror,344,92921,92922,
1091,13th Sign The,2000,Horror,51179,92921,92922,
1092,13th Warrior The,1999,Action-Adventure-Fantasy,16666,1640,11156,
1092,13th Warrior The,1999,Action-Adventure-Fantasy,52544,1640,11156,
1094,13wolui yeonjeong,1982,Drama-Romance,60760,229404,362600,
1099,14 Going on 30,1988,Family-Sci-Fi,71155,66153,73127,
1100,14 Million Dreams,2003,Documentary-Drama,68265,336660,353341,
1101,14 numara,1985,Drama,13208,24721,42766,
1102,14 Tage lebenslnglich,1997,Thriller,66561,47372,51614,
1103,14 tseluvki,1997,Comedy,51170,263029,628361,
1104,14 tula songkram prachachon,2001,Drama,66861,81302,154934,
1114,14/1 endlos,1998,Short,24610,161273,316701,
1119,1465 Westerly,2003,Horror-Short,82720,493124,740094,
1120,147 - Break,1983,Documentary,32738,110708,185276,
1121,1492: Conquest of Paradise,1992,Adventure-Drama,71703,18946,51722,
1123,14e kippetje Het,1998,Comedy-Drama-Romance,246,57799,120039,
1130,15,2003,Comedy-Drama,78122,83122,86452,
1132,15 Amore,1998,Drama,56222,30987,61839,
1134,15 aot,1986,Drama-Family-Short,27293,403023,479550,
1135,15 aot,2001,Comedy,1137,39206,40238,
1138,15 das,2000,Comedy-Short,16156,116604,220976,
1140,15 fvrier 1839,2001,Drama,23695,27490,29163,
1141,15 Jahre,2002,Short,43115,51168,597387,
1141,15 Jahre,2002,Short,54491,51168,597387,
1144,15 Minutes,1999,Comedy-Short,71504,98249,128516,
1145,15 Minutes,2001,Action-Crime-Drama-Thriller,34148,7101,12176,
1149,15 sans billets,1996,Comedy-Short,78355,22928,27332,
1152,15 sui boon,2001,Drama,45587,84975,86394,
1156,15' zondergrond,2000,Short,81711,78897,79617,
1160,15-Sai: Gakko IV,2000,Drama,86995,4652,238212,
1161,15.35: spoor 1,2003,Drama,33865,32607,108779,
1161,15.35: spoor 1,2003,Drama,59259,32607,108779,
1177,16 Days of Glory,1985,Documentary-Family,30415,276777,370184,
1178,16 December,2002,Action-Mystery-Short,72578,118908,186416,
1179,16 en la lista,1998,Drama-Mystery-Thriller,67361,28591,121684,
1183,16060,1995,Drama,49381,55135,69322,
1190,17,1992,Sci-Fi,12168,28783,73047,
1191,17 and Under,1998,Drama,55330,16035,16302,
1200,17 Seconds to Sophie,1998,Documentary-Short,16274,587319,587331,
1201,17 sta 18,2001,Adventure,42498,255813,531697,
1206,1700 meter fra fremtiden,1990,Documentary,8224,225386,371134,
1208,1732 Htten,1998,Thriller,38787,20404,62055,
1209,1775,1992,Comedy-Short,80117,38198,109820,
1214,17th Annual American Music Awards The,1990,Family-Music,50302,37980,43842,
1218,17th Man The,2004,Short-Thriller,38049,10276,20804,
1224,18,2001,Drama,25718,49718,61126,
1225,18 Again!,1988,Comedy,25058,24060,30726,
1292,18 anni tra una settimana,1991,Drama,61704,71276,112160,
1293,18 ans aprs,2003,Comedy,72308,52121,132739,
1296,18 cambios,2000,Short,49388,3835,12351,
1300,18 Fingers of Death!,2004,Comedy,46460,174,744,
1301,18 kp egy konzervgyri lny letbl,2003,Comedy-Drama-Short,41947,349473,458672,
1303,18 Minutes in Albuquerque,1994,Short,27891,52913,147959,
1304,18 rue Popincourt,1991,Short,43861,20283,39237,
1305,18 Shades of Dust,1999,Crime-Drama,757,4325,63610,
1311,18-j,2004,Documentary-Drama,10758,3912,15148,
1311,18-j,2004,Documentary-Drama,11332,3912,15148,
1311,18-j,2004,Documentary-Drama,13078,3912,15148,
1311,18-j,2004,Documentary-Drama,20834,3912,15148,
1311,18-j,2004,Documentary-Drama,45299,3912,15148,
1311,18-j,2004,Documentary-Drama,70718,3912,15148,
1311,18-j,2004,Documentary-Drama,75089,3912,15148,
1311,18-j,2004,Documentary-Drama,75641,3912,15148,
1311,18-j,2004,Documentary-Drama,76906,3912,15148,
1311,18-j,2004,Documentary-Drama,83751,3912,15148,
1314,180 grados,1999,Short,67641,97510,178257,
1316,180 Miles Away,2003,Drama-Short,41173,110154,564985,
1318,18000 giorni fa,1993,Comedy-Drama,26794,28780,38597,
1319,1802 l'pope guadeloupenne,2004,Adventure,44548,20203,270251,
1320,180: Christopher Nolan Interviews Al Pacino,2002,Documentary-Short,36640,346932,358968,
1334,186 Days,2000,Drama-Short,74650,86572,568382,
1337,187 Shadow Lane,2003,Drama,58516,9424,16036,
1338,1871,1990,Drama,52460,16072,54784,
1339,187: Documented,1997,Documentary-Drama,25369,18826,145805,
1346,18th Annual American Music Awards The,1991,Music,50302,35092,44439,
1351,19,2000,Drama,84350,139441,241513,
1356,19 at 11,2004,Short,71506,73143,228841,
1360,19 metra vyatar,1986,Drama,42627,6473,17745,
1361,19 Months,2002,Comedy,15292,47113,121287,
1362,19 Revolutions,2004,Drama,65687,17376,186416,
1369,1902,2001,Comedy-Crime-Romance-Short-Thriller,25771,131522,157193,
1369,1902,2001,Comedy-Crime-Romance-Short-Thriller,45685,131522,157193,
1369,1902,2001,Comedy-Crime-Romance-Short-Thriller,52441,131522,157193,
1371,1914 All Out,1987,Drama-War,30303,23757,102782,
1376,1918,1985,Drama,32749,58577,94597,
1378,1919,1985,Drama,9865,53247,80875,
1379,1919,1997,Short,29399,3301,55040,
1382,1930's: Music Memories & Milestones The,1988,Documentary,25190,10226,11877,
1385,1939,1989,Drama,12258,12877,12879,
1387,1940's: Music Memories & Milestones The,1988,Documentary,25190,19759,41364,
1392,1942: A Love Story,1993,Action-Drama-Musical-Romance,14297,9906,19628,
1398,1950's: Music Memories & Milestones The,1988,Documentary,25190,19759,26486,
1400,1952: Ivan i Aleksandra,1989,Drama,58078,12667,17745,
